Zone Code,all_16_74_employed,managers_senior_officials,prof_occupations,associate_prof_technical_occ,admin_secretarial,skilled_trades_occ,personal_service,sales_customer_service,process_plant_machine_operatives,elementary
60QA000001,29,10,5,2,3,1,0,1,5,2
60QA000002,91,19,16,16,11,11,4,3,6,5
60QA000003,43,7,10,8,3,6,0,4,3,2
60QA000004,26,10,4,4,0,1,1,2,2,2
60QA000005,32,20,4,0,3,0,1,2,2,0
60QA000006,101,10,7,5,4,16,21,6,4,28
60QA000007,31,13,6,4,4,2,0,0,2,0
60QA000008,57,10,13,9,8,7,1,2,4,3
60QA000009,96,23,9,8,15,16,3,6,6,10
60QA000010,43,4,8,7,6,6,1,2,2,7
60QA000011,36,6,2,5,6,8,2,0,5,2
60QA000012,54,8,13,12,5,9,1,1,3,2
60QA000013,129,28,14,12,14,20,8,9,9,15
60QA000014,54,14,14,13,4,1,0,2,3,3
60QA000015,46,5,13,7,6,2,4,3,3,3
60QA000016,90,18,18,16,10,5,5,6,3,9
60QA000017,55,2,1,4,14,5,5,3,6,15
60QA000018,65,3,3,6,11,9,10,5,1,17
60QA000019,39,1,13,8,4,2,1,2,3,5
60QA000020,48,7,8,11,3,4,2,3,3,7
60QA000021,39,3,8,5,7,4,1,5,2,4
60QA000022,41,6,9,6,4,4,0,5,5,2
60QA000023,62,3,16,19,4,7,1,6,3,3
60QA000024,52,3,13,14,1,7,2,4,2,6
60QA000025,19,2,0,3,1,1,3,2,1,6
60QA000026,24,5,2,4,2,3,4,1,1,2
60QA000027,52,6,10,10,5,1,3,4,1,12
60QA000028,78,11,18,14,5,3,5,7,7,8
60QA000029,36,4,5,7,8,1,2,3,2,4
60QA000030,31,2,1,5,8,3,3,3,2,4
60QA000031,39,5,6,7,6,3,2,5,1,4
60QA000032,61,3,8,12,10,7,1,4,8,8
60QA000033,96,7,25,18,9,6,4,8,5,14
60QA000034,57,2,4,2,3,1,11,15,0,19
60QA000035,101,5,12,20,11,3,9,18,6,17
60QA000036,73,6,12,12,8,8,4,10,4,9
60QA000037,36,2,4,9,3,0,6,6,1,5
60QA000038,41,2,2,6,2,5,1,5,6,12
60QA000039,99,9,39,14,12,8,3,4,7,3
60QA000040,77,16,18,16,12,4,1,3,5,2
60QA000041,54,4,16,12,8,4,1,6,2,1
60QA000042,41,5,10,10,7,1,1,4,3,0
60QA000043,50,5,5,5,9,4,4,7,2,9
60QA000044,70,9,22,11,8,4,1,2,7,6
60QA000045,52,13,15,14,2,2,0,1,4,1
60QA000046,76,18,21,12,4,6,3,5,2,5
60QA000047,73,14,23,14,9,3,1,4,2,3
60QA000048,61,11,18,10,6,2,4,3,3,4
60QA000049,74,13,15,12,13,2,3,4,8,4
60QA000050,88,15,18,15,13,13,1,5,2,6
60QA000051,30,2,2,3,3,7,2,5,2,4
60QA000052,58,3,20,10,6,4,5,4,4,2
60QA000053,59,8,13,13,4,5,1,3,4,8
60QA000054,87,11,13,21,11,5,5,5,5,11
60QA000055,86,24,18,16,10,5,3,6,2,2
60QA000056,77,2,28,10,14,6,4,5,3,5
60QA000057,54,10,13,11,2,4,3,6,2,3
60QA000058,60,11,17,6,4,5,2,7,4,4
60QA000059,51,1,13,10,7,9,1,2,5,3
60QA000060,68,7,12,6,11,11,2,7,2,10
60QA000061,54,7,10,11,7,3,2,4,2,8
60QA000062,50,4,10,16,7,4,3,3,2,1
60QA000063,46,5,7,12,5,4,4,3,4,2
60QA000064,70,5,10,21,7,8,3,2,8,6
60QA000065,78,9,13,25,7,8,1,5,6,4
60QA000066,64,4,10,10,10,2,6,11,4,7
60QA000067,59,2,17,18,8,2,3,3,3,3
60QA000068,49,4,10,5,3,4,7,4,8,4
60QA000069,65,14,9,11,4,6,6,3,6,6
60QA000070,32,3,3,4,4,4,2,1,6,5
60QA000071,54,5,11,10,8,5,7,2,4,2
60QA000072,49,6,11,10,7,2,4,3,0,6
60QA000073,48,2,9,15,4,4,3,3,4,4
60QA000074,59,11,13,9,7,2,2,2,6,7
60QA000075,47,3,16,9,3,6,2,1,1,6
60QA000076,81,7,10,18,7,7,1,8,5,18
60QA000077,40,3,3,1,1,6,3,5,8,10
60QA000078,82,9,5,14,14,9,3,8,6,14
60QA000079,21,1,1,2,1,3,3,3,2,5
60QA000080,51,2,1,6,10,5,7,2,6,12
60QA000081,34,1,1,1,4,3,3,4,6,11
60QA000082,83,7,7,7,13,9,6,6,10,18
60QA000083,63,8,6,15,10,6,1,5,3,9
60QA000084,45,1,2,4,7,7,6,2,6,10
60QA000085,54,1,2,6,13,9,6,4,4,9
60QA000086,60,5,3,9,7,7,3,10,6,10
60QA000087,80,6,5,15,18,7,4,3,8,14
60QA000088,90,8,6,10,13,13,8,4,8,20
60QA000089,52,2,5,7,10,8,6,0,4,10
60QA000090,56,3,0,11,13,5,6,3,6,9
60QA000091,51,0,0,4,8,8,5,12,7,7
60QA000092,50,7,4,8,5,6,2,4,6,8
60QA000093,56,5,5,8,5,3,8,4,9,9
60QA000094,51,1,1,8,9,10,6,7,4,5
60QA000095,45,3,5,4,12,6,1,4,8,2
60QA000096,76,5,5,13,8,10,9,10,7,9
60QA000097,58,2,8,15,9,7,2,2,3,10
60QA000098,48,2,3,9,7,9,2,2,10,4
60QA000099,59,4,7,7,9,6,5,6,5,10
60QA000100,33,4,3,2,6,2,2,7,2,5
60QA000101,37,5,2,4,6,5,3,4,2,6
60QA000102,49,4,2,6,6,6,2,3,8,12
60QA000103,49,6,6,9,8,6,4,3,2,5
60QA000104,41,4,5,3,6,4,2,3,8,6
60QA000105,36,4,0,8,3,6,3,2,5,5
60QA000106,50,4,6,10,5,6,0,7,5,7
60QA000107,45,1,0,5,8,13,6,4,3,5
60QA000108,80,9,11,11,10,12,5,7,4,11
60QA000109,50,3,6,8,8,10,2,6,4,3
60QA000110,53,6,0,4,8,4,3,6,8,14
60QA000111,50,4,2,10,8,9,2,4,1,10
60QA000112,22,3,0,1,2,2,4,2,3,5
60QA000113,27,2,0,2,3,2,3,1,5,9
60QA000114,28,2,1,1,5,4,4,1,2,8
60QA000115,22,1,1,4,2,3,1,1,1,8
60QA000116,19,2,0,2,0,2,2,3,1,7
60QA000117,51,3,8,4,5,5,3,6,5,12
60QA000118,55,2,0,11,7,7,4,8,6,10
60QA000119,39,1,1,4,9,8,3,3,4,6
60QA000120,48,1,2,5,5,13,7,3,5,7
60QA000121,54,7,1,5,8,4,5,2,11,11
60QA000122,42,1,1,4,4,6,4,6,9,7
60QA000123,59,6,3,9,8,8,6,5,4,10
60QA000124,60,6,0,3,4,13,1,7,10,16
60QA000125,43,2,2,2,4,7,2,3,5,16
60QA000126,51,2,1,3,4,8,2,6,13,12
60QA000127,56,5,1,3,2,9,4,5,8,19
60QA000128,28,3,1,4,2,3,2,2,6,5
60QA000129,49,3,2,4,3,2,5,4,6,20
60QA000130,43,1,1,1,6,6,3,6,7,12
60QA000131,63,6,2,7,4,3,6,9,10,16
60QA000132,34,2,0,3,2,6,4,7,2,8
60QA000133,48,7,1,4,6,11,2,7,4,6
60QA000134,29,1,0,4,3,2,3,3,5,8
60QA000135,22,1,0,5,2,1,3,2,3,5
60QA000136,61,4,11,6,14,8,3,2,5,8
60QA000137,60,3,4,9,8,7,7,4,7,11
60QA000138,69,7,8,11,8,10,6,4,9,6
60QA000139,73,6,7,10,8,14,4,5,9,10
60QA000140,40,6,1,4,2,8,3,2,7,7
60QA000141,30,2,1,3,4,5,3,1,6,5
60QA000142,28,2,3,4,8,0,0,2,3,6
60QA000143,46,1,0,1,2,9,3,7,8,15
60QA000144,56,1,0,1,6,10,6,2,11,19
60QA000145,45,2,2,2,2,4,5,2,9,17
60QA000146,7,1,0,0,1,1,1,1,1,1
60QA000147,41,3,1,4,7,6,4,1,4,11
60QA000148,56,5,1,4,5,2,2,7,14,16
60QA000149,32,1,0,2,4,3,2,2,3,15
60QA000150,46,4,0,1,6,7,6,3,10,9
60QA000151,87,10,6,11,14,12,10,6,11,7
60QA000152,31,8,4,1,5,1,0,4,4,4
60QA000153,51,11,3,7,6,8,2,5,2,7
60QA000154,46,7,2,9,8,6,5,5,3,1
60QA000155,30,1,1,4,4,3,3,4,4,6
60QA000156,71,2,2,5,10,14,7,4,5,22
60QA000157,40,0,1,3,2,3,7,6,9,9
60QA000158,72,0,2,3,1,15,4,10,11,26
60QA000159,56,6,0,1,5,12,6,7,9,10
60QA000160,41,1,1,6,5,5,5,4,3,11
60QA000161,46,2,2,3,4,8,7,1,10,9
60QA000162,63,9,12,14,4,5,2,4,3,10
60QA000163,45,6,0,2,8,3,1,8,10,7
60QA000164,53,3,2,9,6,8,6,7,4,8
60QA000165,61,10,6,12,9,9,2,6,3,4
60QA000166,62,9,6,6,9,10,3,5,5,9
60QA000167,76,2,3,6,12,5,6,10,14,18
60QA000168,58,9,10,17,8,5,1,5,1,2
60QA000169,60,7,9,12,5,7,5,2,4,9
60QA000170,59,10,10,5,8,7,5,5,3,6
60QA000171,3,0,0,0,0,1,2,0,0,0
