,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S92000003,"2,516,895","210,819","421,639","318,380","286,144","315,177","244,508","234,367","193,594","292,267"
S01000001,507,46,133,69,60,61,45,22,35,36
S01000002,408,27,86,82,64,50,24,20,33,22
S01000003,573,27,84,78,103,85,49,60,56,31
S01000004,402,30,52,72,88,54,26,29,28,23
S01000005,425,42,87,67,77,51,22,24,24,31
S01000006,291,32,51,39,34,45,36,11,21,22
S01000007,348,37,97,57,36,36,22,20,15,28
S01000008,305,28,43,39,46,44,35,26,26,18
S01000009,398,40,44,57,70,49,33,31,43,31
S01000010,334,34,41,46,53,58,27,24,25,26
S01000011,480,78,148,79,55,28,30,22,15,25
S01000012,844,81,150,138,135,114,55,43,75,53
S01000013,461,43,83,40,57,58,44,43,34,59
S01000014,533,32,74,69,72,83,50,48,45,60
S01000015,462,37,70,70,85,70,33,34,33,30
S01000016,276,46,83,43,14,15,43,10,6,16
S01000017,544,31,68,76,80,78,46,62,54,49
S01000018,314,20,35,44,40,50,29,30,31,35
S01000019,275,26,84,45,30,30,12,24,13,11
S01000020,379,60,116,44,43,20,37,17,23,19
S01000021,489,25,68,58,75,60,60,41,49,53
S01000022,306,54,107,42,28,16,15,18,14,12
S01000023,370,48,148,52,37,23,17,14,7,24
S01000024,248,29,80,32,21,33,17,9,7,20
S01000025,429,58,136,57,54,21,41,15,18,29
S01000026,391,14,21,36,59,63,43,40,37,78
S01000027,370,54,121,58,37,22,19,15,12,32
S01000028,437,18,37,47,68,55,46,53,45,68
S01000029,341,48,147,47,31,11,17,18,9,13
S01000030,231,18,10,22,31,44,28,22,24,32
S01000031,454,71,163,74,42,28,23,23,15,15
S01000032,530,26,41,49,79,84,57,42,58,94
S01000033,364,11,33,33,41,55,40,28,55,68
S01000034,630,124,251,82,55,30,24,19,19,26
S01000035,486,27,61,45,69,53,50,65,39,77
S01000036,315,13,32,31,31,40,46,28,38,56
S01000037,418,21,46,47,52,64,40,39,46,63
S01000038,355,23,32,36,55,45,36,34,38,56
S01000039,442,29,58,47,48,66,41,45,29,79
S01000040,493,19,49,45,79,73,46,48,55,79
S01000041,403,40,71,56,55,50,26,21,39,45
S01000042,391,23,49,29,43,56,51,50,28,62
S01000043,472,24,92,64,56,65,38,49,20,64
S01000044,433,18,46,35,50,48,57,39,38,102
S01000045,291,32,89,47,31,27,12,20,12,21
S01000046,358,42,109,55,45,26,28,20,14,19
S01000047,450,36,88,56,59,56,31,44,32,48
S01000048,535,58,163,95,76,38,32,36,13,24
S01000049,370,47,118,77,39,22,17,25,10,15
S01000050,353,44,110,51,47,27,19,29,9,17
S01000051,371,50,110,54,63,35,19,12,15,13
S01000052,283,13,9,9,30,41,56,25,37,63
S01000053,603,51,171,102,78,57,44,36,31,33
S01000054,366,49,106,66,60,24,21,10,11,19
S01000055,360,16,19,26,31,56,47,30,44,91
S01000056,511,66,171,65,45,36,28,32,31,37
S01000057,308,7,11,23,31,43,23,34,47,89
S01000058,401,56,146,74,35,25,13,19,13,20
S01000059,572,69,211,97,57,54,23,19,23,19
S01000060,271,14,14,11,20,50,36,19,33,74
S01000061,470,58,162,81,63,28,25,22,15,16
S01000062,679,55,222,122,77,59,25,40,25,54
S01000063,494,63,185,86,49,32,17,19,12,31
S01000064,369,19,32,36,45,62,43,30,36,66
S01000065,644,47,186,98,91,70,33,48,23,48
S01000066,539,19,70,49,50,91,46,42,62,110
S01000067,558,63,170,107,66,38,24,31,28,31
S01000068,433,61,168,66,34,32,13,22,15,22
S01000069,384,14,16,28,46,69,43,41,28,99
