"dz_2001","chp"
"S01005669","S03000030"
"S01005740","S03000030"
"S01004599","S03000029"
"S01005843","S03000030"
"S01004837","S03000029"
"S01004887","S03000029"
"S01004846","S03000029"
"S01004937","S03000029"
"S01004945","S03000029"
"S01003399","S03000024"
"S01003366","S03000024"
"S01003358","S03000024"
"S01003368","S03000024"
"S01003439","S03000024"
"S01003373","S03000024"
"S01003410","S03000024"
"S01003447","S03000024"
"S01003328","S03000016"
"S01003335","S03000016"
"S01003511","S03000024"
"S01003525","S03000024"
"S01003497","S03000024"
"S01003503","S03000024"
"S01003481","S03000024"
"S01003479","S03000024"
"S01003478","S03000024"
"S01003460","S03000024"
"S01003470","S03000024"
"S01003509","S03000024"
"S01003466","S03000024"
"S01003465","S03000024"
"S01003451","S03000024"
"S01003469","S03000024"
"S01003498","S03000024"
"S01003508","S03000024"
"S01003560","S03000024"
"S01003524","S03000024"
"S01003539","S03000024"
"S01003496","S03000024"
"S01003520","S03000024"
"S01003499","S03000024"
"S01003542","S03000024"
"S01003477","S03000024"
"S01003597","S03000024"
"S01003632","S03000019"
"S01003612","S03000019"
"S01003620","S03000019"
"S01003638","S03000019"
"S01003623","S03000019"
"S01003594","S03000019"
"S01003589","S03000019"
"S01003568","S03000019"
"S01003574","S03000019"
"S01003555","S03000024"
"S01003545","S03000024"
"S01003576","S03000024"
"S01003558","S03000024"
"S01003521","S03000024"
"S01003513","S03000024"
"S01003484","S03000024"
"S01003514","S03000024"
"S01003526","S03000024"
"S01003504","S03000024"
"S01003487","S03000024"
"S01003506","S03000024"
"S01003501","S03000024"
"S01003522","S03000024"
"S01003552","S03000024"
"S01003536","S03000024"
"S01003648","S03000024"
"S01003659","S03000024"
"S01003676","S03000024"
"S01003671","S03000024"
"S01003675","S03000019"
"S01003635","S03000024"
"S01003631","S03000024"
"S01003609","S03000024"
"S01003587","S03000024"
"S01003591","S03000024"
"S01003637","S03000024"
"S01003614","S03000024"
"S01003603","S03000024"
"S01003618","S03000024"
"S01003683","S03000024"
"S01003692","S03000024"
"S01003696","S03000024"
"S01003701","S03000024"
"S01003684","S03000024"
"S01003668","S03000024"
"S01003689","S03000024"
"S01003693","S03000024"
"S01003647","S03000024"
"S01003630","S03000024"
"S01003605","S03000024"
"S01003622","S03000024"
"S01003642","S03000024"
"S01003645","S03000024"
"S01003662","S03000024"
"S01003681","S03000024"
"S01003674","S03000024"
"S01003651","S03000024"
"S01003646","S03000024"
"S01003658","S03000024"
"S01003639","S03000024"
"S01003654","S03000024"
"S01003633","S03000024"
"S01003667","S03000024"
"S01006178","S03000023"
"S01003678","S03000024"
"S01003685","S03000024"
"S01003679","S03000024"
"S01003518","S03000024"
"S01003531","S03000024"
"S01003535","S03000024"
"S01003480","S03000024"
"S01003562","S03000024"
"S01003571","S03000024"
"S01003593","S03000024"
"S01003608","S03000024"
"S01003615","S03000024"
"S01003590","S03000024"
"S01003610","S03000024"
"S01006177","S03000023"
"S01003493","S03000024"
"S01003586","S03000024"
"S01003575","S03000024"
"S01003559","S03000024"
"S01003570","S03000024"
"S01003584","S03000024"
"S01003556","S03000024"
"S01003569","S03000024"
"S01003527","S03000024"
"S01003532","S03000024"
"S01003702","S03000024"
"S01003706","S03000024"
"S01003705","S03000024"
"S01003703","S03000024"
"S01003694","S03000024"
"S01003698","S03000024"
"S01003690","S03000024"
"S01003697","S03000024"
"S01003713","S03000024"
"S01003709","S03000024"
"S01003717","S03000024"
"S01003708","S03000024"
"S01003716","S03000024"
"S01003711","S03000024"
"S01003714","S03000024"
"S01003707","S03000024"
"S01003712","S03000024"
"S01003715","S03000024"
"S01003718","S03000024"
"S01003704","S03000024"
"S01003433","S03000024"
"S01003695","S03000019"
"S01003682","S03000019"
"S01003661","S03000019"
"S01003663","S03000019"
"S01003652","S03000019"
"S01003643","S03000019"
"S01003673","S03000019"
"S01003650","S03000019"
"S01003665","S03000019"
"S01003664","S03000019"
"S01003656","S03000019"
"S01003566","S03000019"
"S01003554","S03000019"
"S01003547","S03000019"
"S01003544","S03000019"
"S01003517","S03000019"
"S01003537","S03000019"
"S01003530","S03000019"
"S01003494","S03000024"
"S01003581","S03000019"
"S01003561","S03000019"
"S01003475","S03000024"
"S01003519","S03000019"
"S01003507","S03000024"
"S01003490","S03000024"
"S01003500","S03000024"
"S01003482","S03000024"
"S01003592","S03000019"
"S01003579","S03000019"
"S01003625","S03000019"
"S01003617","S03000019"
"S01003619","S03000019"
"S01003624","S03000019"
"S01003640","S03000019"
"S01003596","S03000019"
"S01003600","S03000019"
"S01003604","S03000019"
"S01003585","S03000019"
"S01003595","S03000019"
"S01003495","S03000019"
"S01003546","S03000019"
"S01003510","S03000019"
"S01003534","S03000019"
"S01003572","S03000019"
"S01003580","S03000019"
"S01003567","S03000019"
"S01003492","S03000019"
"S01003472","S03000019"
"S01003611","S03000019"
"S01003463","S03000019"
"S01003505","S03000019"
"S01003491","S03000019"
"S01003649","S03000019"
"S01001423","S03000015"
"S01003488","S03000019"
"S01003458","S03000019"
"S01003443","S03000019"
"S01003445","S03000019"
"S01003442","S03000019"
"S01003457","S03000019"
"S01003606","S03000019"
"S01003601","S03000019"
"S01003655","S03000019"
"S01003644","S03000019"
"S01003627","S03000019"
"S01003563","S03000019"
"S01003557","S03000019"
"S01003548","S03000019"
"S01003538","S03000019"
"S01003578","S03000019"
"S01003577","S03000019"
"S01003598","S03000019"
"S01003583","S03000019"
"S01003602","S03000019"
"S01003607","S03000019"
"S01003660","S03000019"
"S01003616","S03000019"
"S01003634","S03000019"
"S01003628","S03000019"
"S01003573","S03000019"
"S01003565","S03000019"
"S01003529","S03000019"
"S01003549","S03000019"
"S01003551","S03000019"
"S01003541","S03000019"
"S01003533","S03000019"
"S01003564","S03000019"
"S01003582","S03000019"
"S01003543","S03000019"
"S01003540","S03000019"
"S01003553","S03000019"
"S01003636","S03000019"
"S01003599","S03000019"
"S01003621","S03000019"
"S01003629","S03000019"
"S01003669","S03000019"
"S01003710","S03000019"
"S01003657","S03000019"
"S01003653","S03000019"
"S01003666","S03000019"
"S01003677","S03000019"
"S01003672","S03000019"
"S01003680","S03000019"
"S01003687","S03000019"
"S01003686","S03000019"
"S01003699","S03000019"
"S01003670","S03000019"
"S01003700","S03000019"
"S01003691","S03000019"
"S01003688","S03000019"
"S01001521","S03000015"
"S01003453","S03000024"
"S01003468","S03000024"
"S01003454","S03000024"
"S01003449","S03000024"
"S01003464","S03000024"
"S01003473","S03000024"
"S01003446","S03000024"
"S01003423","S03000024"
"S01003430","S03000024"
"S01003408","S03000024"
"S01003437","S03000024"
"S01003403","S03000024"
"S01003425","S03000024"
"S01003432","S03000024"
"S01003450","S03000024"
"S01003382","S03000024"
"S01003429","S03000024"
"S01003438","S03000024"
"S01003355","S03000016"
"S01003370","S03000016"
"S01003356","S03000016"
"S01003342","S03000016"
"S01003353","S03000016"
"S01003347","S03000016"
"S01003416","S03000024"
"S01003391","S03000016"
"S01003371","S03000016"
"S01003380","S03000016"
"S01003313","S03000016"
"S01003409","S03000016"
"S01003395","S03000016"
