"","datazone","year","type","count"
"1","S01000001",2001,"all_people",1008
"2","S01000001",2001,"church_of_scotland",402
"3","S01000001",2001,"roman_catholic",46
"4","S01000001",2001,"other_christian",132
"5","S01000001",2001,"buddhist",0
"6","S01000001",2001,"hindu",0
"7","S01000001",2001,"jewish",0
"8","S01000001",2001,"muslim",4
"9","S01000001",2001,"sikh",0
"10","S01000001",2001,"another_religion",4
"11","S01000001",2001,"none",359
"12","S01000001",2001,"not_announced",61
"13","S01000002",2001,"all_people",687
"14","S01000002",2001,"church_of_scotland",217
"15","S01000002",2001,"roman_catholic",41
"16","S01000002",2001,"other_christian",44
"17","S01000002",2001,"buddhist",3
"18","S01000002",2001,"hindu",0
"19","S01000002",2001,"jewish",0
"20","S01000002",2001,"muslim",1
"21","S01000002",2001,"sikh",0
"22","S01000002",2001,"another_religion",3
"23","S01000002",2001,"none",339
"24","S01000002",2001,"not_announced",39
"25","S01000003",2001,"all_people",838
"26","S01000003",2001,"church_of_scotland",286
"27","S01000003",2001,"roman_catholic",36
"28","S01000003",2001,"other_christian",30
"29","S01000003",2001,"buddhist",3
"30","S01000003",2001,"hindu",0
"31","S01000003",2001,"jewish",1
"32","S01000003",2001,"muslim",0
"33","S01000003",2001,"sikh",0
"34","S01000003",2001,"another_religion",4
"35","S01000003",2001,"none",449
"36","S01000003",2001,"not_announced",29
"37","S01000004",2001,"all_people",641
"38","S01000004",2001,"church_of_scotland",241
"39","S01000004",2001,"roman_catholic",33
"40","S01000004",2001,"other_christian",30
"41","S01000004",2001,"buddhist",6
"42","S01000004",2001,"hindu",0
"43","S01000004",2001,"jewish",0
"44","S01000004",2001,"muslim",2
"45","S01000004",2001,"sikh",0
"46","S01000004",2001,"another_religion",4
"47","S01000004",2001,"none",292
"48","S01000004",2001,"not_announced",33
"49","S01000005",2001,"all_people",663
"50","S01000005",2001,"church_of_scotland",268
"51","S01000005",2001,"roman_catholic",48
"52","S01000005",2001,"other_christian",53
"53","S01000005",2001,"buddhist",1
"54","S01000005",2001,"hindu",0
"55","S01000005",2001,"jewish",0
"56","S01000005",2001,"muslim",7
"57","S01000005",2001,"sikh",0
"58","S01000005",2001,"another_religion",7
"59","S01000005",2001,"none",242
"60","S01000005",2001,"not_announced",37
"61","S01000006",2001,"all_people",626
"62","S01000006",2001,"church_of_scotland",333
"63","S01000006",2001,"roman_catholic",29
"64","S01000006",2001,"other_christian",45
"65","S01000006",2001,"buddhist",2
"66","S01000006",2001,"hindu",0
"67","S01000006",2001,"jewish",0
"68","S01000006",2001,"muslim",0
"69","S01000006",2001,"sikh",0
"70","S01000006",2001,"another_religion",4
"71","S01000006",2001,"none",188
"72","S01000006",2001,"not_announced",25
"73","S01000007",2001,"all_people",924
"74","S01000007",2001,"church_of_scotland",482
"75","S01000007",2001,"roman_catholic",35
"76","S01000007",2001,"other_christian",101
"77","S01000007",2001,"buddhist",0
"78","S01000007",2001,"hindu",0
"79","S01000007",2001,"jewish",0
"80","S01000007",2001,"muslim",6
"81","S01000007",2001,"sikh",0
"82","S01000007",2001,"another_religion",7
"83","S01000007",2001,"none",239
"84","S01000007",2001,"not_announced",54
"85","S01000008",2001,"all_people",584
"86","S01000008",2001,"church_of_scotland",299
"87","S01000008",2001,"roman_catholic",22
"88","S01000008",2001,"other_christian",35
"89","S01000008",2001,"buddhist",3
"90","S01000008",2001,"hindu",1
"91","S01000008",2001,"jewish",0
"92","S01000008",2001,"muslim",5
"93","S01000008",2001,"sikh",0
"94","S01000008",2001,"another_religion",3
"95","S01000008",2001,"none",192
"96","S01000008",2001,"not_announced",24
"97","S01000009",2001,"all_people",710
"98","S01000009",2001,"church_of_scotland",277
"99","S01000009",2001,"roman_catholic",30
"100","S01000009",2001,"other_christian",41
"101","S01000009",2001,"buddhist",0
"102","S01000009",2001,"hindu",0
"103","S01000009",2001,"jewish",0
"104","S01000009",2001,"muslim",7
"105","S01000009",2001,"sikh",0
"106","S01000009",2001,"another_religion",0
"107","S01000009",2001,"none",336
"108","S01000009",2001,"not_announced",19
"109","S01000010",2001,"all_people",568
"110","S01000010",2001,"church_of_scotland",240
"111","S01000010",2001,"roman_catholic",25
"112","S01000010",2001,"other_christian",34
"113","S01000010",2001,"buddhist",1
"114","S01000010",2001,"hindu",0
"115","S01000010",2001,"jewish",0
"116","S01000010",2001,"muslim",0
"117","S01000010",2001,"sikh",0
"118","S01000010",2001,"another_religion",3
"119","S01000010",2001,"none",243
"120","S01000010",2001,"not_announced",22
"121","S01000011",2001,"all_people",918
"122","S01000011",2001,"church_of_scotland",308
"123","S01000011",2001,"roman_catholic",62
"124","S01000011",2001,"other_christian",179
"125","S01000011",2001,"buddhist",1
"126","S01000011",2001,"hindu",4
"127","S01000011",2001,"jewish",0
"128","S01000011",2001,"muslim",2
"129","S01000011",2001,"sikh",0
"130","S01000011",2001,"another_religion",1
"131","S01000011",2001,"none",311
"132","S01000011",2001,"not_announced",50
"133","S01000012",2001,"all_people",1332
"134","S01000012",2001,"church_of_scotland",521
"135","S01000012",2001,"roman_catholic",76
"136","S01000012",2001,"other_christian",43
"137","S01000012",2001,"buddhist",0
